"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Buck_converter1","1","4.7uH","","","","SRN6045-4R7Y:SRN6045",""
"C1","1","10 uF","","","","microbuilder:0603",""
"C2,C3,C4","3","120 pF","","","","microbuilder:0603",""
"C13,C14,C15","3","100 nF","","","","microbuilder:0603",""
"C16,C18,C19,C22","4","100nF","","","","microbuilder:0603",""
"C17","1","3.3pF","","","","microbuilder:0603",""
"C20,C21,C23","3","22uF","","","","microbuilder:0603",""
"C24,C25","2","20 pF","","","","microbuilder:0603",""
"D2","1","RSX501LAM20TR","","","","RSX501LAM20TR:DIOM4725X105N",""
"FL1","1","Saw_filter","","","","AFS14A04-1575.42-T3:FIL_AFS14A04-1575.42-T3",""
"IC2","1","MP2315S","","","","MP2315SGJ-Z:SOT65P280X100-8N",""
"J1,J2","2","~","","","","sma-connector:RFSOLUTIONS_CON-SMA-EDGE-S",""
"J3","1","DROGUE","","","","OSTTA020161:ONSHORE_OSTTA020161",""
"J4","1","BATT_CONN","","","","XT60-M:AMASS_XT60-M",""
"J5","1","MAIN","","","","OSTTA020161:ONSHORE_OSTTA020161",""
"J6","1","MAN2","","","","OSTTA020161:ONSHORE_OSTTA020161",""
"J7","1","DROGUE2","","","","OSTTA020161:ONSHORE_OSTTA020161",""
"J8","1","ARM","","","","OSTTA020161:ONSHORE_OSTTA020161",""
"L2,R16","2","~","","","","microbuilder:0603",""
"LED1","1","BATT_CONN","","","","microbuilder:CHIPLED_0603",""
"LS2","1","BUZZER","","","","CMT-8530S-SMT:CUI_CMT-8530S-SMT",""
"Q1,Q2,Q3,Q4","4","SISA96DN-T1","","","","SISA96DN-T1-GE3:SIS862DNT1GE3",""
"Q5","1","CJ3400","","","","CJ3400:SOT95P240X115-3N",""
"R1,R2,R19,R20,R21,R22,R23,R24","8","10k ohm","","","","adafruit:R0603",""
"R3,R4,R28,R30,R32","5","33k","","","","microbuilder:0603",""
"R5,R27,R29,R31,R33","5","1k","","","","microbuilder:0603",""
"R6","1","499k","","","","adafruit:R0603",""
"R7","1","10","","","","adafruit:R0603",""
"R8","1","100k","","","","adafruit:R0603",""
"R9","1","9.09k","","","","adafruit:R0603",""
"R10","1","40.2k","","","","adafruit:R0603",""
"R11","1","7.5k","","","","adafruit:R0603",""
"R12","1","20k","","","","adafruit:R0603",""
"R13","1","10k","","","","microbuilder:0603",""
"R14","1","13k","","","","microbuilder:0603",""
"R15,R17","2","100","","","","microbuilder:0603",""
"U1","1","RPi Pico 2","","","","RASPBERRY_PI_PICO:RASPBERRY_PI_PICO",""
"U2","1","BNO055","","","","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bno055-ds000.pdf"
"U3","1","~","","","","kx134:LGA12_2X2X0P9_ROM",""
"U4","1","BMP280","","","","Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf"
"U5","1","Waveshare_SX1262","","","","CORE1262-868M:XCVR_CORE1262-868M",""
"U6","1","Teseo_liv3f","","","","TESEO-LIV3F:TESEO-LIV3F",""
"XTAL1","1","XTAL_FC135","","","","Q13FC1350000400:XTAL_FC-135_EPS",""
